id,county,region,site_name,fieldwork_type,organisation,x_ref_map,y_ref_map,MajorSite,MinorSite,NonDomesticStructure,HEREvent,HERID,HERMonument,HERSource,SiteCode,OASIS
"2129","Cambridgeshire","East","Roman cemetery, Babraham","Excavation","Cambridge Archaeological Unit","551080","250732","Religious ritual and funerary","funerary site","","ECB2480","","MCB17624","","RCB06 II","cambridg3-27196"
"2139","Cambridgeshire","Central Belt","Impington King Hedges Farm","Evaluation","Oxford Archaeology East","545500","261800","Religious ritual and funerary","funerary site","","","","MCB15697","","",""
"2163","Cambridgeshire","East","East of Hinxton Grange","Excavation","Cambridgeshire Archaeological Field Unit","551120","246440","Rural landscape|Religious ritual and funerary","Isolated building|shrine","","","","MCB13526","","",""
"2169","Cambridgeshire","Central Belt","Coldham's Lane, Cherry Hinton","Evaluation","Cambridgeshire Archaeological Field Unit","548400","257600","Religious ritual and funerary|Rural landscape","funerary site|field system","well","ECB2574","","MCB17618","","CAM COL 07","cambridg1-26580"
"2184","Cambridgeshire","Central Belt","NIAB, Huntingdon Road, Cambridge","Excavation","Albion Archaeology","543700","260700","Rural settlement|Religious ritual and funerary","farm|field system|funerary site|shrine","well","","","MCB17974","","",""
"1002","Essex","East","Great Chesterford Temple","Excavation","Essex County Council Field Archaeology Unit; Great Chesterford Archaeological Group","551438","243646","Religious ritual and funerary","RC temple","workshop","","","MEX1031211","","",""
"1012","Essex","East","Ivy Chimneys","Excavation","Essex County Council Field Archaeology Unit","581139","213677","Religious ritual and funerary","shrine|pottery production","kiln","","","MEX38616","","",""
"1018","Essex","South","Gutteridge Wood, Weeley","Excavation","Essex County Council Field Archaeology Unit","614077","220977","Religious ritual and funerary","funerary site|field system","","","","MEX1033336","","",""
"1021","Essex","East","Thaxted","Excavation","Oxford Archaeology","561269","231765","Religious ritual and funerary","funerary site","","","","MEX1038479","","",""
"1029","Essex","East","Great Dunmow","Excavation","Essex County Council Field Archaeology Unit","562585","221906","Nucleated settlement|Religious ritual and funerary","roadside settlement|shrine|funerary site","well","","","MEX28822","","",""
