"Title","Location","Phases__Type","Phases__Material","Phases__Date","Phases__Notes","Phases__Source"
"Uley complex","51.694879, -2.306066","Temple/Shrine","Two timber shrines surrounded by palisades and ditches, site originally consisted of standing stones ","199 - 0 BC","",""
"","","Temple/Shrine","Small square Roman temple ","50 AD - 100 AD ","Dedications to Mercury",""
"","","Temple/Shrine","Temple destroyed in the 5th Century ","400 - 499 AD","",""
"","","Temple/Shrine","Temple site reused in the 5th - 6th Century, in the later an enclosed bank was dug folowed by a timber church","400 - 599 AD","",""
"","","Temple/Shrine","The Eary church built on the Uley temple was demolished and the land used for agriculture","700 - 799 AD","",""
"Hayling island temple","50.816708, -0.972313","Temple/Shrine","Square Open-Air, Temple site","50 BC - 10 BC","","https://sites.google.com/site/tixxys/theromantemple/the-temple-in-depth"
"","","Temple/Shrine","Round House style, Temple site","10 BC - 70 AD","","https://sites.google.com/site/tixxys/theromantemple/the-temple-in-depth"
"Wanborough Temple","51.237707, -0.682003","Shrine","Ritual Centre, Celtic","25 - 25 AD","Prominent for seemingly centering around an Oak Tree","https://historicengland.org.uk/listing/the-list/list-entry/1019641"
"","","Temple","Circular, Temple, Romano","50 AD - 150 AD","","https://historicengland.org.uk/listing/the-list/list-entry/1019641"
"","","Temple","Square, Temple, Romano","150 AD - 350 AD","","https://historicengland.org.uk/listing/the-list/list-entry/1019641"
"Brigstock Shrine","52.458965, -0.580450","Shrine","penannular ditch with an entrance causeway on the east","25 AD +","",""
"","","Temple","Circular temple built 20ft to the north of the original shrine","250 AD ± 10","",""
"","","Shrine","Compex falls out of use","375 - 400 AD","",""
"Lowbury Hill Temple","51.535586, -1.221358","Temple/Shrine","2nd phase Romano-British temple precinct","45 - 65 AD","",""
"Fison Way Temple","52.431677, 0.743007","Temple/Shrine","Square temple, 4 walled enclosure","50 AD with later Roman period use","Appears to have been a sacred centre since the late Bronze age, located in Icenian territory and the structure appears to have been constructed not long after the Icenian Revolt.",""
"Nettleton Temple 1","51.504169, -2.259594","Temple/Shrine","Circular Shrine ","69 - 225 AD","Nettleton 1 Appears dedicated to Apollo Cunomaglus ""Hound Lord""",""
"","","Temple/Shrine","Octagonal stone podium built around existing structure ","225 - 250 AD","",""
